,product,price,quantity,date,region
95,magenta morsel,2.5,579,2018-02-09,west
96,chartreuse morsel,3.0,588,2018-02-09,north
97,chartreuse morsel,3.0,540,2018-02-09,south
98,chartreuse morsel,3.0,543,2018-02-09,east
99,chartreuse morsel,3.0,558,2018-02-09,west
100,periwinkle morsel,1.25,578,2018-02-09,north
101,periwinkle morsel,1.25,518,2018-02-09,south
102,periwinkle morsel,1.25,591,2018-02-09,east
103,periwinkle morsel,1.25,525,2018-02-09,west
104,vermilion morsel,4.99,565,2018-02-09,north
105,vermilion morsel,4.99,600,2018-02-09,south
106,vermilion morsel,4.99,574,2018-02-09,east
107,vermilion morsel,4.99,511,2018-02-09,west
108,lapis morsel,1.99,512,2018-02-09,north
109,lapis morsel,1.99,540,2018-02-09,south
110,lapis morsel,1.99,575,2018-02-09,east
111,lapis morsel,1.99,518,2018-02-09,west
112,pink morsel,3.0,554,2018-02-10,north
113,pink morsel,3.0,519,2018-02-10,south
114,pink morsel,3.0,550,2018-02-10,east
115,pink morsel,3.0,558,2018-02-10,west
116,gold morsel,9.99,509,2018-02-10,north
117,gold morsel,9.99,548,2018-02-10,south
118,gold morsel,9.99,517,2018-02-10,east
119,gold morsel,9.99,523,2018-02-10,west
120,magenta morsel,2.5,600,2018-02-10,north
121,magenta morsel,2.5,562,2018-02-10,south
122,magenta morsel,2.5,576,2018-02-10,east
123,magenta morsel,2.5,511,2018-02-10,west
124,chartreuse morsel,3.0,591,2018-02-10,north
125,chartreuse morsel,3.0,569,2018-02-10,south
126,chartreuse morsel,3.0,577,2018-02-10,east
127,chartreuse morsel,3.0,545,2018-02-10,west
128,periwinkle morsel,1.25,546,2018-02-10,north
129,periwinkle morsel,1.25,550,2018-02-10,south
130,periwinkle morsel,1.25,519,2018-02-10,east
131,periwinkle morsel,1.25,586,2018-02-10,west
132,vermilion morsel,4.99,537,2018-02-10,north
133,vermilion morsel,4.99,571,2018-02-10,south
134,vermilion morsel,4.99,546,2018-02-10,east
135,vermilion morsel,4.99,549,2018-02-10,west
136,lapis morsel,1.99,599,2018-02-10,north
137,lapis morsel,1.99,570,2018-02-10,south
138,lapis morsel,1.99,557,2018-02-10,east
139,lapis morsel,1.99,580,2018-02-10,west
140,pink morsel,3.0,518,2018-02-11,north
141,pink morsel,3.0,529,2018-02-11,south
142,pink morsel,3.0,521,2018-02-11,east
143,pink morsel,3.0,588,2018-02-11,west
144,gold morsel,9.99,518,2018-02-11,north
145,gold morsel,9.99,578,2018-02-11,south
146,gold morsel,9.99,534,2018-02-11,east
147,gold morsel,9.99,508,2018-02-11,west
148,magenta morsel,2.5,579,2018-02-11,north
149,magenta morsel,2.5,516,2018-02-11,south
150,magenta morsel,2.5,543,2018-02-11,east
151,magenta morsel,2.5,500,2018-02-11,west
152,chartreuse morsel,3.0,589,2018-02-11,north
153,chartreuse morsel,3.0,511,2018-02-11,south
154,chartreuse morsel,3.0,550,2018-02-11,east
155,chartreuse morsel,3.0,515,2018-02-11,west
156,periwinkle morsel,1.25,572,2018-02-11,north
157,periwinkle morsel,1.25,503,2018-02-11,south
158,periwinkle morsel,1.25,545,2018-02-11,east
159,periwinkle morsel,1.25,540,2018-02-11,west
160,vermilion morsel,4.99,521,2018-02-11,north
161,vermilion morsel,4.99,503,2018-02-11,south
162,vermilion morsel,4.99,558,2018-02-11,east
163,vermilion morsel,4.99,548,2018-02-11,west
164,lapis morsel,1.99,501,2018-02-11,north
165,lapis morsel,1.99,567,2018-02-11,south
166,lapis morsel,1.99,543,2018-02-11,east
167,lapis morsel,1.99,579,2018-02-11,west
168,pink morsel,3.0,586,2018-02-12,north
169,pink morsel,3.0,536,2018-02-12,south
170,pink morsel,3.0,523,2018-02-12,east
171,pink morsel,3.0,551,2018-02-12,west
172,gold morsel,9.99,534,2018-02-12,north
173,gold morsel,9.99,543,2018-02-12,south
174,gold morsel,9.99,511,2018-02-12,east
175,gold morsel,9.99,515,2018-02-12,west
176,magenta morsel,2.5,500,2018-02-12,north
177,magenta morsel,2.5,532,2018-02-12,south
178,magenta morsel,2.5,517,2018-02-12,east
179,magenta morsel,2.5,530,2018-02-12,west
180,chartreuse morsel,3.0,541,2018-02-12,north
181,chartreuse morsel,3.0,521,2018-02-12,south
182,chartreuse morsel,3.0,531,2018-02-12,east
183,chartreuse morsel,3.0,509,2018-02-12,west
184,periwinkle morsel,1.25,522,2018-02-12,north
185,periwinkle morsel,1.25,502,2018-02-12,south
186,periwinkle morsel,1.25,522,2018-02-12,east
187,periwinkle morsel,1.25,579,2018-02-12,west
188,vermilion morsel,4.99,509,2018-02-12,north
189,vermilion morsel,4.99,594,2018-02-12,south
190,vermilion morsel,4.99,580,2018-02-12,east
191,vermilion morsel,4.99,523,2018-02-12,west
192,lapis morsel,1.99,578,2018-02-12,north
193,lapis morsel,1.99,573,2018-02-12,south
194,lapis morsel,1.99,523,2018-02-12,east
195,lapis morsel,1.99,507,2018-02-12,west
196,pink morsel,3.0,524,2018-02-13,north
197,pink morsel,3.0,572,2018-02-13,south
198,pink morsel,3.0,591,2018-02-13,east
199,pink morsel,3.0,575,2018-02-13,west
200,gold morsel,9.99,521,2018-02-13,north
201,gold morsel,9.99,584,2018-02-13,south
202,gold morsel,9.99,516,2018-02-13,east
203,gold morsel,9.99,517,2018-02-13,west
204,magenta morsel,2.5,547,2018-02-13,north
205,magenta morsel,2.5,597,2018-02-13,south
206,magenta morsel,2.5,599,2018-02-13,east
207,magenta morsel,2.5,585,2018-02-13,west
208,chartreuse morsel,3.0,578,2018-02-13,north
209,chartreuse morsel,3.0,572,2018-02-13,south
210,chartreuse morsel,3.0,590,2018-02-13,east
211,chartreuse morsel,3.0,512,2018-02-13,west
212,periwinkle morsel,1.25,515,2018-02-13,north
213,periwinkle morsel,1.25,504,2018-02-13,south
214,periwinkle morsel,1.25,538,2018-02-13,east
215,periwinkle morsel,1.25,515,2018-02-13,west
216,vermilion morsel,4.99,585,2018-02-13,north
217,vermilion morsel,4.99,571,2018-02-13,south
218,vermilion morsel,4.99,538,2018-02-13,east
219,vermilion morsel,4.99,500,2018-02-13,west
220,lapis morsel,1.99,501,2018-02-13,north
221,lapis morsel,1.99,541,2018-02-13,south
222,lapis morsel,1.99,564,2018-02-13,east
223,lapis morsel,1.99,501,2018-02-13,west
224,pink morsel,3.0,589,2018-02-14,north
225,pink morsel,3.0,570,2018-02-14,south
226,pink morsel,3.0,566,2018-02-14,east
227,pink morsel,3.0,504,2018-02-14,west
228,gold morsel,9.99,508,2018-02-14,north
229,gold morsel,9.99,576,2018-02-14,south
230,gold morsel,9.99,536,2018-02-14,east
231,gold morsel,9.99,546,2018-02-14,west
232,magenta morsel,2.5,594,2018-02-14,north
233,magenta morsel,2.5,542,2018-02-14,south
234,magenta morsel,2.5,507,2018-02-14,east
235,magenta morsel,2.5,516,2018-02-14,west
236,chartreuse morsel,3.0,527,2018-02-14,north
237,chartreuse morsel,3.0,566,2018-02-14,south
238,chartreuse morsel,3.0,598,2018-02-14,east
239,chartreuse morsel,3.0,524,2018-02-14,west
240,periwinkle morsel,1.25,595,2018-02-14,north
241,periwinkle morsel,1.25,600,2018-02-14,south
242,periwinkle morsel,1.25,558,2018-02-14,east
243,periwinkle morsel,1.25,527,2018-02-14,west
244,vermilion morsel,4.99,525,2018-02-14,north
245,vermilion morsel,4.99,532,2018-02-14,south
246,vermilion morsel,4.99,547,2018-02-14,east
247,vermilion morsel,4.99,512,2018-02-14,west
248,lapis morsel,1.99,531,2018-02-14,north
249,lapis morsel,1.99,545,2018-02-14,south
250,lapis morsel,1.99,596,2018-02-14,east
251,lapis morsel,1.99,517,2018-02-14,west
252,pink morsel,3.0,582,2018-02-15,north
253,pink morsel,3.0,578,2018-02-15,south
254,pink morsel,3.0,508,2018-02-15,east
255,pink morsel,3.0,538,2018-02-15,west
256,gold morsel,9.99,535,2018-02-15,north
257,gold morsel,9.99,508,2018-02-15,south
258,gold morsel,9.99,577,2018-02-15,east
259,gold morsel,9.99,511,2018-02-15,west
260,magenta morsel,2.5,523,2018-02-15,north
261,magenta morsel,2.5,530,2018-02-15,south
262,magenta morsel,2.5,582,2018-02-15,east
263,magenta morsel,2.5,562,2018-02-15,west
264,chartreuse morsel,3.0,535,2018-02-15,north
265,chartreuse morsel,3.0,533,2018-02-15,south
266,chartreuse morsel,3.0,588,2018-02-15,east
267,chartreuse morsel,3.0,508,2018-02-15,west
268,periwinkle morsel,1.25,511,2018-02-15,north
269,periwinkle morsel,1.25,541,2018-02-15,south
270,periwinkle morsel,1.25,529,2018-02-15,east
271,periwinkle morsel,1.25,570,2018-02-15,west
272,vermilion morsel,4.99,518,2018-02-15,north
273,vermilion morsel,4.99,533,2018-02-15,south
274,vermilion morsel,4.99,533,2018-02-15,east
275,vermilion morsel,4.99,553,2018-02-15,west
276,lapis morsel,1.99,526,2018-02-15,north
277,lapis morsel,1.99,555,2018-02-15,south
278,lapis morsel,1.99,552,2018-02-15,east
279,lapis morsel,1.99,553,2018-02-15,west
280,pink morsel,3.0,526,2018-02-16,north
281,pink morsel,3.0,594,2018-02-16,south
282,pink morsel,3.0,509,2018-02-16,east
283,pink morsel,3.0,584,2018-02-16,west
284,gold morsel,9.99,506,2018-02-16,north
285,gold morsel,9.99,591,2018-02-16,south
286,gold morsel,9.99,503,2018-02-16,east
287,gold morsel,9.99,519,2018-02-16,west
288,magenta morsel,2.5,548,2018-02-16,north
289,magenta morsel,2.5,578,2018-02-16,south
290,magenta morsel,2.5,518,2018-02-16,east
291,magenta morsel,2.5,564,2018-02-16,west
292,chartreuse morsel,3.0,500,2018-02-16,north
293,chartreuse morsel,3.0,533,2018-02-16,south
294,chartreuse morsel,3.0,501,2018-02-16,east
295,chartreuse morsel,3.0,529,2018-02-16,west
296,periwinkle morsel,1.25,597,2018-02-16,north
297,periwinkle morsel,1.25,521,2018-02-16,south
298,periwinkle morsel,1.25,557,2018-02-16,east
299,periwinkle morsel,1.25,542,2018-02-16,west
300,vermilion morsel,4.99,519,2018-02-16,north
301,vermilion morsel,4.99,593,2018-02-16,south
302,vermilion morsel,4.99,571,2018-02-16,east
303,vermilion morsel,4.99,510,2018-02-16,west
304,lapis morsel,1.99,515,2018-02-16,north
305,lapis morsel,1.99,510,2018-02-16,south
306,lapis morsel,1.99,521,2018-02-16,east
307,lapis morsel,1.99,574,2018-02-16,west
308,pink morsel,3.0,595,2018-02-17,north
309,pink morsel,3.0,563,2018-02-17,south
310,pink morsel,3.0,547,2018-02-17,east
311,pink morsel,3.0,525,2018-02-17,west
312,gold morsel,9.99,564,2018-02-17,north
313,gold morsel,9.99,573,2018-02-17,south
314,gold morsel,9.99,524,2018-02-17,east
315,gold morsel,9.99,530,2018-02-17,west
316,magenta morsel,2.5,595,2018-02-17,north
317,magenta morsel,2.5,503,2018-02-17,south
318,magenta morsel,2.5,580,2018-02-17,east
319,magenta morsel,2.5,568,2018-02-17,west
320,chartreuse morsel,3.0,528,2018-02-17,north
321,chartreuse morsel,3.0,573,2018-02-17,south
322,chartreuse morsel,3.0,578,2018-02-17,east
323,chartreuse morsel,3.0,550,2018-02-17,west
324,periwinkle morsel,1.25,555,2018-02-17,north
325,periwinkle morsel,1.25,531,2018-02-17,south
326,periwinkle morsel,1.25,515,2018-02-17,east
327,periwinkle morsel,1.25,545,2018-02-17,west
328,vermilion morsel,4.99,520,2018-02-17,north
329,vermilion morsel,4.99,575,2018-02-17,south
330,vermilion morsel,4.99,573,2018-02-17,east
331,vermilion morsel,4.99,520,2018-02-17,west
332,lapis morsel,1.99,515,2018-02-17,north
333,lapis morsel,1.99,599,2018-02-17,south
334,lapis morsel,1.99,569,2018-02-17,east
335,lapis morsel,1.99,589,2018-02-17,west
336,pink morsel,3.0,548,2018-02-18,north
337,pink morsel,3.0,558,2018-02-18,south
338,pink morsel,3.0,517,2018-02-18,east
339,pink morsel,3.0,579,2018-02-18,west
340,gold morsel,9.99,521,2018-02-18,north
341,gold morsel,9.99,568,2018-02-18,south
342,gold morsel,9.99,540,2018-02-18,east
343,gold morsel,9.99,583,2018-02-18,west
344,magenta morsel,2.5,575,2018-02-18,north
345,magenta morsel,2.5,506,2018-02-18,south
346,magenta morsel,2.5,532,2018-02-18,east
347,magenta morsel,2.5,509,2018-02-18,west
348,chartreuse morsel,3.0,591,2018-02-18,north
349,chartreuse morsel,3.0,512,2018-02-18,south
350,chartreuse morsel,3.0,539,2018-02-18,east
351,chartreuse morsel,3.0,564,2018-02-18,west
352,periwinkle morsel,1.25,513,2018-02-18,north
353,periwinkle morsel,1.25,529,2018-02-18,south
354,periwinkle morsel,1.25,577,2018-02-18,east
355,periwinkle morsel,1.25,504,2018-02-18,west
356,vermilion morsel,4.99,569,2018-02-18,north
357,vermilion morsel,4.99,578,2018-02-18,south
358,vermilion morsel,4.99,516,2018-02-18,east
359,vermilion morsel,4.99,528,2018-02-18,west
360,lapis morsel,1.99,575,2018-02-18,north
361,lapis morsel,1.99,536,2018-02-18,south
362,lapis morsel,1.99,504,2018-02-18,east
363,lapis morsel,1.99,573,2018-02-18,west
364,pink morsel,3.0,521,2018-02-19,north
365,pink morsel,3.0,549,2018-02-19,south
366,pink morsel,3.0,535,2018-02-19,east
367,pink morsel,3.0,513,2018-02-19,west
368,gold morsel,9.99,562,2018-02-19,north
369,gold morsel,9.99,593,2018-02-19,south
370,gold morsel,9.99,593,2018-02-19,east
371,gold morsel,9.99,597,2018-02-19,west
372,magenta morsel,2.5,511,2018-02-19,north
373,magenta morsel,2.5,509,2018-02-19,south
374,magenta morsel,2.5,590,2018-02-19,east
375,magenta morsel,2.5,575,2018-02-19,west
376,chartreuse morsel,3.0,519,2018-02-19,north
377,chartreuse morsel,3.0,521,2018-02-19,south
378,chartreuse morsel,3.0,532,2018-02-19,east
379,chartreuse morsel,3.0,504,2018-02-19,west
380,periwinkle morsel,1.25,508,2018-02-19,north
381,periwinkle morsel,1.25,528,2018-02-19,south
382,periwinkle morsel,1.25,555,2018-02-19,east
383,periwinkle morsel,1.25,582,2018-02-19,west
384,vermilion morsel,4.99,596,2018-02-19,north
385,vermilion morsel,4.99,570,2018-02-19,south
386,vermilion morsel,4.99,572,2018-02-19,east
387,vermilion morsel,4.99,594,2018-02-19,west
388,lapis morsel,1.99,551,2018-02-19,north
389,lapis morsel,1.99,503,2018-02-19,south
390,lapis morsel,1.99,568,2018-02-19,east
391,lapis morsel,1.99,561,2018-02-19,west
392,pink morsel,3.0,566,2018-02-20,north
393,pink morsel,3.0,525,2018-02-20,south
394,pink morsel,3.0,500,2018-02-20,east
395,pink morsel,3.0,517,2018-02-20,west
396,gold morsel,9.99,581,2018-02-20,north
397,gold morsel,9.99,544,2018-02-20,south
398,gold morsel,9.99,569,2018-02-20,east
399,gold morsel,9.99,595,2018-02-20,west
400,magenta morsel,2.5,521,2018-02-20,north
401,magenta morsel,2.5,583,2018-02-20,south
402,magenta morsel,2.5,578,2018-02-20,east
403,magenta morsel,2.5,573,2018-02-20,west
404,chartreuse morsel,3.0,557,2018-02-20,north
405,chartreuse morsel,3.0,582,2018-02-20,south
406,chartreuse morsel,3.0,552,2018-02-20,east
407,chartreuse morsel,3.0,524,2018-02-20,west
408,periwinkle morsel,1.25,593,2018-02-20,north
409,periwinkle morsel,1.25,530,2018-02-20,south
410,periwinkle morsel,1.25,521,2018-02-20,east
411,periwinkle morsel,1.25,597,2018-02-20,west
412,vermilion morsel,4.99,581,2018-02-20,north
413,vermilion morsel,4.99,521,2018-02-20,south
414,vermilion morsel,4.99,583,2018-02-20,east
415,vermilion morsel,4.99,517,2018-02-20,west
416,lapis morsel,1.99,522,2018-02-20,north
417,lapis morsel,1.99,533,2018-02-20,south
418,lapis morsel,1.99,587,2018-02-20,east
419,lapis morsel,1.99,518,2018-02-20,west
420,pink morsel,3.0,579,2018-02-21,north
421,pink morsel,3.0,514,2018-02-21,south
422,pink morsel,3.0,555,2018-02-21,east
423,pink morsel,3.0,516,2018-02-21,west
424,gold morsel,9.99,575,2018-02-21,north
425,gold morsel,9.99,500,2018-02-21,south
426,gold morsel,9.99,558,2018-02-21,east
427,gold morsel,9.99,508,2018-02-21,west
428,magenta morsel,2.5,587,2018-02-21,north
429,magenta morsel,2.5,569,2018-02-21,south
430,magenta morsel,2.5,507,2018-02-21,east
431,magenta morsel,2.5,517,2018-02-21,west
432,chartreuse morsel,3.0,546,2018-02-21,north
433,chartreuse morsel,3.0,563,2018-02-21,south
434,chartreuse morsel,3.0,512,2018-02-21,east
435,chartreuse morsel,3.0,556,2018-02-21,west
436,periwinkle morsel,1.25,507,2018-02-21,north
437,periwinkle morsel,1.25,584,2018-02-21,south
438,periwinkle morsel,1.25,558,2018-02-21,east
439,periwinkle morsel,1.25,594,2018-02-21,west
440,vermilion morsel,4.99,557,2018-02-21,north
441,vermilion morsel,4.99,522,2018-02-21,south
442,vermilion morsel,4.99,568,2018-02-21,east
443,vermilion morsel,4.99,588,2018-02-21,west
444,lapis morsel,1.99,596,2018-02-21,north
445,lapis morsel,1.99,572,2018-02-21,south
446,lapis morsel,1.99,524,2018-02-21,east
447,lapis morsel,1.99,537,2018-02-21,west
448,pink morsel,3.0,545,2018-02-22,north
449,pink morsel,3.0,544,2018-02-22,south
450,pink morsel,3.0,556,2018-02-22,east
451,pink morsel,3.0,588,2018-02-22,west
452,gold morsel,9.99,529,2018-02-22,north
453,gold morsel,9.99,531,2018-02-22,south
454,gold morsel,9.99,516,2018-02-22,east
455,gold morsel,9.99,542,2018-02-22,west
456,magenta morsel,2.5,577,2018-02-22,north
457,magenta morsel,2.5,525,2018-02-22,south
458,magenta morsel,2.5,520,2018-02-22,east
459,magenta morsel,2.5,530,2018-02-22,west
460,chartreuse morsel,3.0,554,2018-02-22,north
461,chartreuse morsel,3.0,528,2018-02-22,south
462,chartreuse morsel,3.0,533,2018-02-22,east
463,chartreuse morsel,3.0,521,2018-02-22,west
464,periwinkle morsel,1.25,576,2018-02-22,north
465,periwinkle morsel,1.25,586,2018-02-22,south
466,periwinkle morsel,1.25,521,2018-02-22,east
467,periwinkle morsel,1.25,507,2018-02-22,west
468,vermilion morsel,4.99,524,2018-02-22,north
469,vermilion morsel,4.99,522,2018-02-22,south
470,vermilion morsel,4.99,543,2018-02-22,east
471,vermilion morsel,4.99,573,2018-02-22,west
472,lapis morsel,1.99,505,2018-02-22,north
473,lapis morsel,1.99,508,2018-02-22,south
474,lapis morsel,1.99,579,2018-02-22,east
475,lapis morsel,1.99,600,2018-02-22,west
476,pink morsel,3.0,511,2018-02-23,north
477,pink morsel,3.0,521,2018-02-23,south
478,pink morsel,3.0,547,2018-02-23,east
479,pink morsel,3.0,591,2018-02-23,west
480,gold morsel,9.99,519,2018-02-23,north
481,gold morsel,9.99,536,2018-02-23,south
482,gold morsel,9.99,551,2018-02-23,east
483,gold morsel,9.99,541,2018-02-23,west
484,magenta morsel,2.5,502,2018-02-23,north
485,magenta morsel,2.5,578,2018-02-23,south
486,magenta morsel,2.5,516,2018-02-23,east
487,magenta morsel,2.5,582,2018-02-23,west
488,chartreuse morsel,3.0,546,2018-02-23,north
489,chartreuse morsel,3.0,527,2018-02-23,south
490,chartreuse morsel,3.0,578,2018-02-23,east
491,chartreuse morsel,3.0,550,2018-02-23,west
492,periwinkle morsel,1.25,562,2018-02-23,north
493,periwinkle morsel,1.25,519,2018-02-23,south
494,periwinkle morsel,1.25,506,2018-02-23,east
495,periwinkle morsel,1.25,592,2018-02-23,west
496,vermilion morsel,4.99,521,2018-02-23,north
497,vermilion morsel,4.99,578,2018-02-23,south
498,vermilion morsel,4.99,599,2018-02-23,east
499,vermilion morsel,4.99,521,2018-02-23,west
500,lapis morsel,1.99,501,2018-02-23,north
501,lapis morsel,1.99,523,2018-02-23,south
502,lapis morsel,1.99,551,2018-02-23,east
503,lapis morsel,1.99,600,2018-02-23,west
504,pink morsel,3.0,543,2018-02-24,north
505,pink morsel,3.0,566,2018-02-24,south
506,pink morsel,3.0,575,2018-02-24,east
507,pink morsel,3.0,574,2018-02-24,west
508,gold morsel,9.99,532,2018-02-24,north
509,gold morsel,9.99,538,2018-02-24,south
510,gold morsel,9.99,565,2018-02-24,east
511,gold morsel,9.99,507,2018-02-24,west
512,magenta morsel,2.5,518,2018-02-24,north
513,magenta morsel,2.5,589,2018-02-24,south
514,magenta morsel,2.5,547,2018-02-24,east
515,magenta morsel,2.5,511,2018-02-24,west
516,chartreuse morsel,3.0,583,2018-02-24,north
517,chartreuse morsel,3.0,528,2018-02-24,south
518,chartreuse morsel,3.0,520,2018-02-24,east
519,chartreuse morsel,3.0,552,2018-02-24,west
520,periwinkle morsel,1.25,548,2018-02-24,north
521,periwinkle morsel,1.25,500,2018-02-24,south
522,periwinkle morsel,1.25,570,2018-02-24,east
523,periwinkle morsel,1.25,599,2018-02-24,west
524,vermilion morsel,4.99,528,2018-02-24,north
525,vermilion morsel,4.99,592,2018-02-24,south
526,vermilion morsel,4.99,538,2018-02-24,east
527,vermilion morsel,4.99,565,2018-02-24,west
528,lapis morsel,1.99,598,2018-02-24,north
529,lapis morsel,1.99,501,2018-02-24,south
530,lapis morsel,1.99,556,2018-02-24,east
531,lapis morsel,1.99,550,2018-02-24,west
532,pink morsel,3.0,532,2018-02-25,north
533,pink morsel,3.0,570,2018-02-25,south
534,pink morsel,3.0,545,2018-02-25,east
535,pink morsel,3.0,553,2018-02-25,west
536,gold morsel,9.99,583,2018-02-25,north
537,gold morsel,9.99,600,2018-02-25,south
538,gold morsel,9.99,586,2018-02-25,east
539,gold morsel,9.99,574,2018-02-25,west
540,magenta morsel,2.5,554,2018-02-25,north
541,magenta morsel,2.5,526,2018-02-25,south
542,magenta morsel,2.5,588,2018-02-25,east
543,magenta morsel,2.5,566,2018-02-25,west
544,chartreuse morsel,3.0,511,2018-02-25,north
545,chartreuse morsel,3.0,523,2018-02-25,south
546,chartreuse morsel,3.0,527,2018-02-25,east
547,chartreuse morsel,3.0,521,2018-02-25,west
548,periwinkle morsel,1.25,541,2018-02-25,north
549,periwinkle morsel,1.25,502,2018-02-25,south
550,periwinkle morsel,1.25,518,2018-02-25,east
551,periwinkle morsel,1.25,573,2018-02-25,west
552,vermilion morsel,4.99,591,2018-02-25,north
553,vermilion morsel,4.99,541,2018-02-25,south
554,vermilion morsel,4.99,537,2018-02-25,east
555,vermilion morsel,4.99,586,2018-02-25,west
556,lapis morsel,1.99,508,2018-02-25,north
557,lapis morsel,1.99,550,2018-02-25,south
558,lapis morsel,1.99,575,2018-02-25,east
559,lapis morsel,1.99,542,2018-02-25,west
560,pink morsel,3.0,562,2018-02-26,north
561,pink morsel,3.0,511,2018-02-26,south
562,pink morsel,3.0,508,2018-02-26,east
563,pink morsel,3.0,510,2018-02-26,west
564,gold morsel,9.99,513,2018-02-26,north
565,gold morsel,9.99,587,2018-02-26,south
566,gold morsel,9.99,585,2018-02-26,east
567,gold morsel,9.99,542,2018-02-26,west
568,magenta morsel,2.5,511,2018-02-26,north
569,magenta morsel,2.5,547,2018-02-26,south
570,magenta morsel,2.5,547,2018-02-26,east
571,magenta morsel,2.5,541,2018-02-26,west
